Date-Time,".NSEBANK,Cndl,Open",".NSEBANK,Cndl,High",".NSEBANK,Cndl,Low",".NSEBANK,Cndl,Close",".NSEBANK,EMA,Trade Price",".NSEBANK,OBV,Trade Price",".NSEBANK,RSI,Trade Price",".NSEBANK,MACD,MACD",".NSEBANK,MACD,MACD Signal Line",".NSEBANK,Vol,Trade Price"
10-11-2023,43543.25,43908.7,43504.95,43820.1,43501.71988,38361100000000,52.21969994,-173.1842057,-306.3875876,89975000
09-11-2023,43626.1,43876.75,43542.65,43683.6,43452.73833,38361000000000,50.14737439,-220.0964138,-339.688433,108890000000
08-11-2023,43791.8,43797.55,43547.75,43658.65,43417.22115,38252100000000,49.77766608,-262.8738662,-369.5864379,163438000000
07-11-2023,43598.85,43799.35,43283.85,43737.9,43380.07825,38415500000000,50.89081854,-311.1094674,-396.2645808,198173000000
06-11-2023,43627.75,43648.7,43415.2,43619.4,43325.02874,38217400000000,49.31714146,-376.219497,-417.5533591,149914000000
03-11-2023,43318.3,43416.1,43221,43318.25,43279.74086,38067500000000,45.17101064,-441.785833,-427.8868246,124078000000
02-11-2023,43018.7,43271.5,42796.45,43017.2,43273.81638,37943400000000,40.66531759,-488.3837989,-424.4120725,144713000000
01-11-2023,42694.25,42815.15,42589.65,42700.95,43313.29582,37798700000000,35.49455037,-510.10362,-408.419141,145214000000
31-10-2023,43356.85,43356.85,42797.15,42845.95,43407.50287,37943900000000,36.86221815,-498.2063209,-382.9980212,157391000000
30-10-2023,42721.4,43112.5,42390.5,43039.15,43493.89562,38101300000000,38.7075258,-490.53804,-354.1959462,188985000000
27-10-2023,42555.6,42840.15,42482.75,42782,43563.85648,37912300000000,34.66524669,-493.286699,-320.1104228,213868000000
26-10-2023,42708.4,42716.2,42105.4,42280.15,43684.14209,37698400000000,25.79687105,-463.4373626,-276.8163538,307072000000
25-10-2023,43308.3,43397.45,42758.4,42832,43900.14088,38005500000000,29.94759899,-367.5003935,-230.1611016,188274000000
23-10-2023,43822.7,43831.3,43029.45,43151.2,44064.47024,38193800000000,32.78048974,-295.8928381,-195.8262786,201404000000
20-10-2023,43584.25,43877.5,43567.45,43723.05,44204.97336,38395200000000,38.90226303,-232.6920261,-170.8096387,152394000000
19-10-2023,43616.75,44058.8,43558.1,43754.5,44279.11541,38547600000000,39.27684968,-206.8649239,-155.3390418,156630000000
18-10-2023,44404.2,44412.5,43861.45,43888.7,44359.82547,38704200000000,40.83480536,-174.0933873,-142.4575713,217183000000
17-10-2023,44589.8,44589.85,44336.95,44409.5,44432.30632,38921400000000,47.64518362,-143.3967222,-134.5486173,120502000000
16-10-2023,44204.75,44356.95,44044.4,44225.9,44435.81498,38800900000000,44.62177539,-155.1577537,-132.3365911,140416000000
13-10-2023,44322.05,44563.05,44203.7,44287.95,44468.10959,38941300000000,45.4453714,-149.2184483,-126.6313005,169909000000
12-10-2023,44571.55,44693.05,44530.05,44599.2,44495.82645,39111200000000,49.71981704,-145.785103,-120.9845135,112114000000
11-10-2023,44554.9,44710.55,44411.4,44516.9,44479.92283,38999100000000,48.53120554,-170.9733044,-114.7843661,213743000000
10-10-2023,44027.55,44487.25,44004.55,44360.15,44474.23404,38785300000000,46.28547389,-192.2560879,-100.7371316,175256000000
09-10-2023,44057.8,44113.2,43796.75,43886.5,44491.78543,38610100000000,38.79191814,-200.6642067,-77.85739247,162330000000
